order_id;order_date;customer_id;employee_id;shipper_id;product_id;sales;costs;profit;quantity;discount;freight
10337;7/21/2009;25;8;2;23;360,00;311,04;48,96;40;0,00;76,43
10337;7/21/2009;25;8;2;26;805,20;725,27;79,93;24;0,00;76,43
10337;7/21/2009;25;8;2;36;159,80;138,07;21,73;20;0,00;76,43
10337;7/21/2009;25;8;2;37;109,20;94,35;14,85;28;0,00;76,43
10337;7/21/2009;25;8;2;72;300,75;259,85;40,90;25;0,00;76,43
10262;8/19/2009;65;2;2;5;80,35;57,85;22,50;12;13,39;33,19
10262;8/19/2009;65;2;2;7;574,50;496,37;78,13;15;0,00;33,19
10262;8/19/2009;65;2;2;56;69,10;59,70;9,40;2;0,00;33,19
10374;9/2/2009;91;8;2;31;273,30;236,13;37,17;30;0,00;45,53
10374;9/2/2009;91;8;2;58;773,55;668,35;105,20;15;0,00;45,53
10357;9/16/2009;46;2;2;10;234,36;168,74;65,62;30;39,06;65,97
10357;9/16/2009;46;2;2;26;471,04;406,98;64,06;16;0,00;65,97
10357;9/16/2009;46;2;2;60;46,66;35,32;11,34;8;7,78;65,97
10286;9/18/2009;63;8;2;35;606,00;523,58;82,42;100;0,00;42,17
10286;9/18/2009;63;8;2;62;1211,20;1046,48;164,72;40;0,00;42,17
10287;9/19/2009;67;2;2;16;408,48;306,89;101,59;40;53,28;70,97
10287;9/19/2009;67;2;2;34;153,40;132,54;20,86;20;0,00;70,97
10287;9/19/2009;67;2;2;46;210,97;168,07;42,90;15;27,52;70,97
10296;10/4/2009;46;2;2;11;319,44;276,00;43,44;12;0,00;22,40
10296;10/4/2009;46;2;2;16;280,80;242,61;38,19;30;0,00;22,40
10296;10/4/2009;46;2;2;69;28,35;24,49;3,86;15;0,00;22,40
10268;10/27/2009;33;3;2;29;1173,00;1013,47;159,53;10;0,00;69,28
10268;10/27/2009;33;3;2;72;50,56;43,68;6,88;4;0,00;69,28
10278;11/9/2009;5;2;2;44;1292,48;1116,70;175,78;16;0,00;50,46
10278;11/9/2009;5;2;2;59;128,55;115,22;13,33;15;0,00;50,46
10278;11/9/2009;5;2;2;63;168,16;145,29;22,87;8;0,00;50,46
10278;11/9/2009;5;2;2;73;26,75;23,11;3,64;25;0,00;50,46
10291;11/24/2009;61;2;2;13;506,66;397,96;108,70;20;46,06;21,08
10291;11/24/2009;61;2;2;44;2182,75;1714,45;468,30;24;198,43;21,08
10291;11/24/2009;61;2;2;51;234,43;184,14;50,29;2;21,31;21,08
10298;12/2/2009;37;2;2;2;701,60;606,18;95,42;40;0,00;78,52
10298;12/2/2009;37;2;2;36;367,00;253,67;113,33;40;73,40;78,52
10298;12/2/2009;37;2;2;59;343,13;237,17;105,96;30;68,63;78,52
