ID;SupplierID;Supplier;SupplierContact;SupplierCountry
1;1;Sunny Clothes;Peter Shilton;UK
2;2;Big L;James Brown;USA
3;3;Dressed for Succes;Glenn Miller;USA
4;4;Nitsuchiba;James Sushi;Japan
5;5;Los Hombres Machos;Antonio Banderas;Spain
6;6;SatSUMAs;Hirosho Tayoto;Japan
7;7;New Balls;Pat Cash;Australia
8;8;Hot Pants;David Leg;UK
9;9;Goa Kläder;Tomas Ravelli;Sweden
10;10;Samba;Ronaldinho;Brazil
11;11;Der Bahnhof;Karl Straubaum;Germany
12;12;Austerlich;Karl Heinz Berger;Germany
13;13;Executive Clothing GMBH;Markus Danzig;Germany
14;14;Ravenna Fashion;Pablo Rossi;Italy
15;15;Bar Åkeri;Atle Skårdal;Norway
16;16;Smooth Clothes;Pamela Andersson;USA
17;17;ABC;Anna Book;Sweden
18;18;Like Paradis;Vanessa Paradis;France
19;19;Mayflower;Ray Bourke;USA
20;20;Asin Fashion Ltd Co;Li Chi Mihn;Singapore
21;21;Prael Ltd;Preben Elkjer;Denmark
22;22;Niemegen Boots;George van Zaant;Netherlands
23;23;Nordik Koskenkorva;Juha Mieto;Finland
24;24;Cangaroo Shoes;Crocodile Dundee;Australia
25;25;Mountain International;Celine Dion;Canada
26;26;Pirilli Company;Alberto Tomba;Italy
27;27;Gal Export;Marie Desailly;France
28;28;FrisersAfrong;Yannik Noah;France
29;29;Fast Runners;Ben Johnsson;Canada
