purchase_id;partner_id;client_id;city_id;promotion_id;category_id;purchase_date;price;quantity;status
0;2;853;7;1;1;2020-06-05;30.00;5.00;1
1;2;406;2;3;3;2020-06-15;230.00;5.00;1
2;3;807;5;1;1;2020-09-16;15.00;8.00;1
3;1;124;2;1;1;2020-10-10;310.00;3.00;1
4;1;352;0;0;0;2020-03-22;375.00;6.00;1
5;1;803;7;3;3;2020-09-24;340.00;5.00;1
6;0;872;6;1;1;2020-04-02;330.00;5.00;1
7;1;641;7;1;1;2020-04-06;145.00;3.00;1
8;3;771;3;0;0;2020-09-25;280.00;2.00;1
9;2;867;0;0;0;2020-08-01;460.00;4.00;1
10;2;473;7;0;0;2020-10-19;15.00;5.00;1
11;2;896;6;2;2;2020-03-24;330.00;7.00;1
12;2;99;6;2;2;2020-09-22;290.00;8.00;1
13;3;933;4;1;1;2020-03-29;155.00;2.00;1
14;1;52;0;1;1;2020-09-30;475.00;7.00;1
15;1;109;1;3;3;2020-07-16;55.00;8.00;1
16;1;446;0;0;0;2020-10-15;400.00;5.00;1
17;1;659;3;2;2;2020-03-11;35.00;6.00;1
18;1;631;7;2;2;2020-09-18;225.00;5.00;1
19;1;940;2;3;3;2020-09-27;495.00;3.00;1
20;1;601;3;0;0;2020-09-06;215.00;1.00;1
21;3;349;4;3;3;2020-10-25;485.00;5.00;1
22;0;528;4;1;1;2020-06-29;195.00;2.00;1
23;1;275;6;1;1;2020-10-10;110.00;6.00;1
24;1;29;6;3;3;2020-04-14;490.00;9.00;1
25;3;948;2;1;1;2020-04-21;165.00;9.00;1
26;3;10;1;3;3;2020-05-18;285.00;2.00;1
27;3;366;6;1;1;2020-07-07;220.00;4.00;1
28;0;402;0;2;2;2020-10-16;155.00;4.00;3
29;1;169;5;3;3;2020-03-18;455.00;2.00;1
30;0;606;0;3;3;2020-04-27;300.00;7.00;1
31;0;362;3;3;3;2020-10-16;325.00;4.00;1
32;3;890;2;1;1;2020-09-05;155.00;6.00;1
33;3;77;3;1;1;2020-07-08;185.00;3.00;1
34;0;747;3;0;0;2020-03-30;490.00;2.00;1
35;0;379;3;0;0;2020-08-24;380.00;5.00;1
36;0;303;6;1;1;2020-09-09;20.00;1.00;1
37;1;712;2;0;0;2020-06-09;240.00;2.00;3
38;3;46;0;1;1;2020-05-29;470.00;6.00;1
39;2;211;0;1;1;2020-06-07;170.00;1.00;1
