city_id;client_city_id;city;client_city
0;8;Москва;Вена
0;4;Москва;Щучинщина
0;1;Москва;Санкт-Петербург
0;2;Москва;Новгород
0;7;Москва;Киев
0;0;Москва;Москва
0;5;Москва;Ярославль
1;5;Санкт-Петербург;Ярославль
1;8;Санкт-Петербург;Вена
1;6;Санкт-Петербург;Казань
1;4;Санкт-Петербург;Щучинщина
1;2;Санкт-Петербург;Новгород
1;0;Санкт-Петербург;Москва
1;3;Санкт-Петербург;Минск
1;7;Санкт-Петербург;Киев
1;1;Санкт-Петербург;Санкт-Петербург
2;3;Новгород;Минск
2;5;Новгород;Ярославль
2;8;Новгород;Вена
2;0;Новгород;Москва
2;6;Новгород;Казань
2;1;Новгород;Санкт-Петербург
2;7;Новгород;Киев
2;2;Новгород;Новгород
2;4;Новгород;Щучинщина
3;1;Минск;Санкт-Петербург
3;5;Минск;Ярославль
3;8;Минск;Вена
3;2;Минск;Новгород
3;0;Минск;Москва
3;4;Минск;Щучинщина
3;7;Минск;Киев
3;3;Минск;Минск
3;6;Минск;Казань
4;1;Щучинщина;Санкт-Петербург
4;2;Щучинщина;Новгород
4;0;Щучинщина;Москва
4;5;Щучинщина;Ярославль
4;8;Щучинщина;Вена
4;7;Щучинщина;Киев
4;3;Щучинщина;Минск
5;2;Ярославль;Новгород
5;3;Ярославль;Минск
5;7;Ярославль;Киев
5;8;Ярославль;Вена
5;4;Ярославль;Щучинщина
5;5;Ярославль;Ярославль
5;0;Ярославль;Москва
5;1;Ярославль;Санкт-Петербург
5;6;Ярославль;Казань
6;8;Казань;Вена
6;7;Казань;Киев
6;1;Казань;Санкт-Петербург
6;0;Казань;Москва
6;5;Казань;Ярославль
6;4;Казань;Щучинщина
6;3;Казань;Минск
6;2;Казань;Новгород
6;6;Казань;Казань
7;4;Киев;Щучинщина
7;5;Киев;Ярославль
7;1;Киев;Санкт-Петербург
7;2;Киев;Новгород
7;3;Киев;Минск
7;7;Киев;Киев
7;6;Киев;Казань
7;8;Киев;Вена
7;0;Киев;Москва
8;0;Вена;Москва
8;1;Вена;Санкт-Петербург
8;6;Вена;Казань
8;4;Вена;Щучинщина
8;7;Вена;Киев
8;5;Вена;Ярославль
8;8;Вена;Вена
8;3;Вена;Минск
8;2;Вена;Новгород
